id,planet_name,star_name,star_type,planet_type,orbital_distance_au,orbital_period_days,day_length_hours,axial_tilt_deg,mean_temp_c,temp_range_c,gravity_g,escape_velocity_kms,atmospheric_pressure_atm,atmosphere_primary_gases,oxygen_percent,co2_percent,methane_percent,water_presence,surface_composition,dominant_biome,albedo,cloud_coverage_percent,storm_frequency,seismic_activity,magnetic_field,radiation_level,moons_count,rings,native_biology,invasive_risk,rare_mineral_index,energy_harvest_potential,terraforming_difficulty,colonization_cost_index,strategic_value_rating,primary_hazard,viability_class,exploration_log,environmental_report,incident_report,image_prompt,environment_type,name,description,settlement_index
1,Meridian Reach,Avior Octavus Decimus,K-type orange dwarf,rogue planet,,,31.49,0.4,-15.0,30.06,0.37,17.72,0.98,N2 90% O2 8% Ar 2%,,0.38,0.19,trace,ice,silicate desert,0.42,19.0,seasonal,moderate,strong,extreme,2.0,yes,microbial,5.0,29.0,moderate,4.0,75.0,19.0,radiation,Partial Terraforming Required,"Landing confirmed in the northern temperate zone. This planet is remarkably Earth-like, almost suspiciously so. Oxygen at twenty-one percent, nitrogen dominant, trace gases within normal parameters. Temperature is mild, gravity at one-point-zero-two standard feels like home. The landscape is forested with towering vegetation analogues, some reaching heights of sixty meters. Biodiversity appears exceptional. We've catalogued forty-three distinct species in the first day, including flying fauna and complex invertebrates. Water is abundant in streams and lakes, all testing potable with minimal treatment. Soil is rich and fertile. The star is G-type, providing familiar yellow-white light. Day length is twenty-six hours, close enough to human circadian rhythms to avoid major adjustment issues. This world seems almost designed for human habitation. Dr. Alvarez is cautiously optimistic but warns against complacency - Earth-like doesn't mean safe. We're conducting extensive biological surveys to identify potential pathogens or allergens. No large predators observed yet, but we're maintaining defensive perimeters. Magnetic field is strong, radiation levels are low, seismic activity is minimal. If the long-term studies confirm initial impressions, this could be a priority colonization target. The crew is energized by the familiar environment. Establishing permanent research station with expansion potential. This might be the world we've been searching for.",,148.21841142735656,"Panoramic view of a dense carbon dioxide atmosphere creating a greenhouse effect, with sulfuric acid rain falling through yellow clouds onto a steaming rocky surface and a shielded rover navigating the hostile terrain",,Meridian Reach,"A frigid rogue world adrift between stars, Meridian Reach orbits no sun yet maintains a thin, breathable atmosphere sustained by residual geothermal activity and a powerful magnetic field that shields its icy surface from cosmic radiation. Microbial life persists in subsurface refugia, offering tantalizing clues about life's resilience in extreme isolation.",56.99
2,Cryovara,Lacaille 9352,G-type main sequence,volcanic world,0.177326431173743,4.794412197306561,37.014184647575945,0.5815220719367106,-15.0,85.0,0.6938384670113028,18.00691689588112,0.7501544687120731,N2 65% O2 18% CO2 12% H2O 5%,18.0,12.0,0.0,subsurface,volcanic,cryogenic desert,0.72,35.0,seasonal,moderate,weak,moderate,3.0,no,unknown,2.0,72.0,low,8.0,78.0,65.0,radiation,Research Outpost Only,"Touchdown in the equatorial desert region. Sand extends to every horizon, broken only by wind-carved rock formations and occasional impact craters. The star blazes white-hot overhead, driving surface temperatures to fifty-eight Celsius in direct sunlight. Atmosphere is thin, pressure at point-four standard, requiring supplemental oxygen. Water is scarce - subsurface ice detected at depth, but surface conditions are arid. The sand itself is unusual, composed of silicate crystals that refract light in rainbow patterns. Beautiful but harsh. Wind is constant, creating dune systems that shift daily. We've deployed anchored habitats to prevent burial. No biological activity detected in initial surveys, though we're checking subsurface samples for extremophile microbes. Mineral scans indicate significant rare-earth deposits beneath the sand seas. This world's value is extractive rather than habitable. Solar energy potential is extreme - panels here would operate at peak efficiency. Establishing mining assessment outpost. Crew is struggling with the heat and isolation. The emptiness is profound, broken only by the whisper of sand against our equipment. Nights are brutally cold, temperature swings of eighty degrees. This is a world for machines and desperate prospectors, not families. Recommend automated extraction operations with minimal human presence. The desert keeps its secrets well.",,,"Dramatic panorama of crimson crystal spires jutting from a silicon-based desert under a green-tinted sky, with electromagnetic storms creating visible plasma arcs between formations and a survey drone for scale",,Cryovara,"A desolate ice-bound world orbiting close to a G-type star, Cryovara presents a paradox of volcanic geology locked beneath perpetual frost and thin atmosphere. Extreme temperature swings, weak magnetic shielding, and subsurface water reserves make it a compelling research target despite its hostile surface conditions.",60.07
3,Aqualis Deep,Adhara Lambda,Binary system (K+K),relic/artificial world,0.9316886944623084,287.4,18.5,2.1,-18.0,42.0,0.33,5.2,0.8,N2 65% O2 18% CO2 12% H2O 5%,18.0,12.0,0.3,subsurface,crystalline,ammonia lakes,0.3760674997117531,35.0,constant,moderate,strong,high,5.0,yes,complex,3.0,72.0,moderate,,58.0,64.0,predators,Research Outpost Only,"Touchdown in the equatorial desert region. Sand extends to every horizon, broken only by wind-carved rock formations and occasional impact craters. The star blazes white-hot overhead, driving surface temperatures to fifty-eight Celsius in direct sunlight. Atmosphere is thin, pressure at point-four standard, requiring supplemental oxygen. Water is scarce - subsurface ice detected at depth, but surface conditions are arid. The sand itself is unusual, composed of silicate crystals that refract light in rainbow patterns. Beautiful but harsh. Wind is constant, creating dune systems that shift daily. We've deployed anchored habitats to prevent burial. No biological activity detected in initial surveys, though we're checking subsurface samples for extremophile microbes. Mineral scans indicate significant rare-earth deposits beneath the sand seas. This world's value is extractive rather than habitable. Solar energy potential is extreme - panels here would operate at peak efficiency. Establishing mining assessment outpost. Crew is struggling with the heat and isolation. The emptiness is profound, broken only by the whisper of sand against our equipment. Nights are brutally cold, temperature swings of eighty degrees. This is a world for machines and desperate prospectors, not families. Recommend automated extraction operations with minimal human presence. The desert keeps its secrets well.",,,"Dramatic surface shot of black volcanic plains with glowing lava rivers cutting through obsidian rock under a thick orange haze, featuring a small habitat dome for scale and constant lightning illuminating the ash-filled sky",High-Gravity,Aqualis Deep,"A crystalline relic world orbiting a binary K-type star system, Aqualis Deep presents a paradox of ancient artificial construction and hostile natural conditions. Beneath its ammonia-laced atmosphere and constant storm systems lies substantial rare mineral wealth, making it valuable for research outposts despite its extreme radiation and complex native biota.",63.24
4,Opaline,Alphard Eta-3,Orange giant,volcanic world,0.6805609814034925,3.844232406256403,111.65795291934376,0.8845581330274065,285.0,62.0,0.6375293957696698,9.195780801034466,0.8328043182568534,CH4 65% N2 30% Ar 5%,0.05,1.46,1.11,seas,rocky,carbonate cliffs,0.82,0.74,frequent,moderate,weak,high,3.0,no,unknown,0.0,7.0,moderate,,48.0,57.0,seismic,Research Outpost Only,"Mission Day 1 - Initial touchdown coordinates confirmed at {lat} degrees. Surface integrity exceeds projections. Atmospheric sampling underway. The landscape stretches in rust-colored waves toward twin horizons, punctuated by crystalline formations that refract the star's amber light into prismatic cascades. Gravity feels manageable after three weeks in transit sleep. Chief Scientist Varro reports preliminary spectroscopy indicates unexpected mineral signatures in the regolith - possibly rare-earth concentrations worth flagging for extraction teams. Temperature holding steady despite the thin atmosphere. We've deployed seismographs in a pentagonal array around the landing site. No biological signatures detected yet, though the methane traces in the upper atmosphere remain unexplained. Commander insists on maintaining quarantine protocols regardless. The silence here is profound, broken only by wind across the basalt plains and the occasional ping of our equipment. Establishing primary habitat module now. Mission parameters call for seventy-two hours of intensive surveying before the orbital relay window closes. Personal note: the sunsets here last nearly four hours due to atmospheric density. Spectacular but unsettling. Recommend psychological support protocols for long-term deployment.",161.66338757325605,126.08699489504852,"Cinematic landscape of a moon orbiting a gas giant with the massive parent planet dominating half the sky in swirling browns and whites, rocky terrain in shadow with a small habitat lit from within at dusk",,,,50.5
5,Kepler-442c,Merak Chi,Close binary (tidal heating),volcanic world,0.2581273463817682,4.294247803992208,25.587575898299715,0.473461411514609,1.0,86.41189647624309,0.4923586209641138,9.177680059037352,0.4502491755610052,N2 90% O2 8% Ar 2%,8.0,3.55,0.17,seas,volcanic,phosphorescent tide zones,0.4921858306671022,62.57,rare,moderate,weak,high,3.0,no,microbial,4.0,9.0,high,5.0,33.0,91.0,storms,Research Outpost Only,"Touch down confirmed. This place is hell with a view. Atmospheric pressure at three-point-seven standard - we're effectively underwater in terms of suit stress. The sulfur dioxide concentrations make every seal critical. Volcanic activity visible on three horizons, with lava flows creating new geography in real-time. Surface temperature fluctuates wildly between thermal vents and shadow zones. The sky burns orange-red, choked with ash that our filters are already struggling to process. Seismic sensors registered four significant tremors in the first hour alone. Despite the hostility, there's something mesmerizing about the raw geological violence on display. Mineral scans are off the charts - iridium, platinum group metals, and several compounds we can't immediately identify. This world is a treasure trove if we can survive long enough to extract anything. Radiation levels are elevated but manageable with shielding. No biological activity detected, which is unsurprising given the conditions. The science team is excited; the engineers are calculating survival odds. Establishing hardened research station in a lava tube system for thermal stability. Mission duration limited to two weeks maximum before we risk equipment failure. Every moment here feels borrowed.",,,"Sweeping landscape of a silicate desert with glass formations created by ancient meteor impacts, reflecting a harsh white sun, with heat shimmer effects and a landing craft visible through the distortion",,Merak Chi-c,"A geologically violent volcanic world orbiting a close binary star system, where extreme tidal heating drives constant seismic activity and abundant rare mineral deposits beneath a toxic sulfur-laden atmosphere. Hostile conditions and elevated radiation make it suitable only for heavily shielded research operations, yet its rich mineral wealth and unique phosphorescent microbial ecosystems present compelling scientific value.",64.05
6,Solara Minor,Algieba Iota-3,Brown dwarf companion,ice world,0.7326871190074108,8.126515964336994,8.507882418580584,0.4831729215936028,-45.0,85.0,0.453804795782447,8.799085826256592,1.8600740509910103,He 55% H2 40% Ne 5%,0.0,0.0,0.0,subsurface,rocky,crystalline ice plains,0.4448007601264135,0.3606273449185926,rare,high,weak,moderate,5.0,no,none,2.0,35.0,moderate,7.0,62.0,58.0,radiation,Research Outpost Only,"Mission Day 1 - Initial touchdown coordinates confirmed at {lat} degrees. Surface integrity exceeds projections. Atmospheric sampling underway. The landscape stretches in rust-colored waves toward twin horizons, punctuated by crystalline formations that refract the star's amber light into prismatic cascades. Gravity feels manageable after three weeks in transit sleep. Chief Scientist Varro reports preliminary spectroscopy indicates unexpected mineral signatures in the regolith - possibly rare-earth concentrations worth flagging for extraction teams. Temperature holding steady despite the thin atmosphere. We've deployed seismographs in a pentagonal array around the landing site. No biological signatures detected yet, though the methane traces in the upper atmosphere remain unexplained. Commander insists on maintaining quarantine protocols regardless. The silence here is profound, broken only by wind across the basalt plains and the occasional ping of our equipment. Establishing primary habitat module now. Mission parameters call for seventy-two hours of intensive surveying before the orbital relay window closes. Personal note: the sunsets here last nearly four hours due to atmospheric density. Spectacular but unsettling. Recommend psychological support protocols for long-term deployment.",195.82704449833943,87.25649163508778,"Cinematic panorama of a super-Earth's compressed atmosphere creating constant high-altitude winds, with streamlined rock formations carved by millennia of erosion and a reinforced survey station anchored against the gale",Polar Ice World,Solara Minor,"A frigid ice world orbiting a brown dwarf, Solara Minor harbors subsurface water and rare mineral deposits beneath its crystalline surface, making it a compelling research target despite hostile atmospheric and radiation conditions. Its active seismic regime and anomalous geological signatures hint at complex internal processes that could reshape our understanding of planetary evolution in extreme stellar environments.",50.37
7,Obsidian Crown,Mizar Kappa,F-type main sequence,ocean world,0.2084378512248609,4.694402392737977,33.40265929222496,0.7903328265867874,1.0,19.63286413202094,0.4130386954579632,29.448884142402335,1.1795437779916604,N2 82% O2 16% CO2 2%,16.0,2.0,0.0,seas,ice,stromatolite reefs,0.64,54.0,rare,extreme,weak,extreme,3.0,no,complex,2.0,38.0,high,5.0,68.0,53.0,unknown_anomaly,Partial Terraforming Required,"Landing sequence completed without incident at local dawn. First impressions: this world is alive in ways the probes couldn't capture. Bioluminescent organisms carpet the coastal regions, creating waves of blue-green light that pulse in response to our movements. Dr. Kesh theorizes a planet-wide mycelial network may be coordinating these responses. Air quality is breathable with minimal filtration - oxygen levels at eighteen percent, nitrogen dominant, trace noble gases. The ocean stretches to the horizon, darker than Earth's seas, with periodic eruptions of what appear to be thermal vents creating steam columns kilometers high. We've catalogued seventeen distinct species in the first six hours alone, all invertebrate analogues. The magnetic field here is remarkably strong, playing havoc with our navigation systems but providing excellent radiation shielding. Gravity at one-point-one Earth standard feels heavy after the journey. Establishing research camp on the basaltic shelf overlooking the primary tide pool system. Water samples show complex organic chemistry. This could be the discovery of the decade. Recommend immediate escalation to xenobiology teams and extended mission duration. The potential here is extraordinary.",,,"Dramatic view of a relic world's abandoned megastructure ruins emerging from jungle overgrowth, with bioluminescent vines climbing the ancient metal, and a small exploration team's camp visible at the base under a green-filtered sun",,Obsidian Crown,,65.54
8,Cryovara,Minelauva Pi-3,Binary system (G+M),ocean world,3.5,1247.3,18.4,12.7,8.2,22.5,0.6282618538759079,12.864995958693052,1.1,N2 78% O2 18% Ar 3% CO2 1%,18.0,1.0,0.1,global ocean,rocky,pelagic abyss,0.4712342872312925,85.0,frequent,moderate,moderate,moderate,2.0,no,complex,3.0,64.0,moderate,7.0,78.0,52.0,storms,Research Outpost Only,"Surface contact established. Ocean world confirmed - no land masses detected within scanning range. We've deployed floating research platform anchored to subsurface geological formation. Water depth at this location: four-point-three kilometers. The ocean extends globally, dark and mysterious. Atmospheric pressure at one-point-four standard, high humidity, constant cloud coverage. Rain is frequent and warm. The star is obscured most of the time, creating dim, diffuse lighting conditions. Water samples show high salinity and complex chemistry. Biological activity is abundant - we've netted dozens of species in preliminary trawls, ranging from microscopic plankton analogues to meter-long predatory swimmers. Dr. Reeves believes we're seeing only surface-layer ecology; the deep ocean likely hosts entirely different ecosystems. Sonar mapping reveals massive geological structures on the ocean floor, possibly volcanic. The constant motion of the platform is challenging for equipment calibration. No solid ground means all infrastructure must be floating or submersible. Resource extraction would focus on aquaculture and oceanic minerals. Colonization potential is limited but not zero - floating cities are theoretically viable. The isolation and monotony of endless ocean is psychologically taxing. Weather systems are powerful but predictable. This world is beautiful in its simplicity but challenging for permanent settlement. Recommend specialized marine research teams for extended study.",,107.64893834710458,"Sweeping panorama of a tidally heated volcanic moon with constant eruptions painting the sky red and orange, rivers of molten rock flowing between black mountains, and a heat-shielded outpost in the safe zone",Marine,,,72.49
9,Crystallis,GJ 357,Triple star system,terrestrial,0.2,7.54,44.08,0.06,1.0,126.0,0.28,,1.25,CO2 75% N2 20% CH4 5%,0.24,75.0,5.0,subsurface,rocky,acidic marshlands,0.94,0.75,frequent,moderate,strong,extreme,0.0,no,microbial,4.0,14.0,high,7.0,78.0,60.0,radiation,Partial Terraforming Required,"Mission Day 1 - Initial touchdown coordinates confirmed at {lat} degrees. Surface integrity exceeds projections. Atmospheric sampling underway. The landscape stretches in rust-colored waves toward twin horizons, punctuated by crystalline formations that refract the star's amber light into prismatic cascades. Gravity feels manageable after three weeks in transit sleep. Chief Scientist Varro reports preliminary spectroscopy indicates unexpected mineral signatures in the regolith - possibly rare-earth concentrations worth flagging for extraction teams. Temperature holding steady despite the thin atmosphere. We've deployed seismographs in a pentagonal array around the landing site. No biological signatures detected yet, though the methane traces in the upper atmosphere remain unexplained. Commander insists on maintaining quarantine protocols regardless. The silence here is profound, broken only by wind across the basalt plains and the occasional ping of our equipment. Establishing primary habitat module now. Mission parameters call for seventy-two hours of intensive surveying before the orbital relay window closes. Personal note: the sunsets here last nearly four hours due to atmospheric density. Spectacular but unsettling. Recommend psychological support protocols for long-term deployment.",190.260976485224,111.13647994985465,"Panoramic view of a methane-rain forest with strange tubular vegetation in shades of teal and burgundy, constant drizzle creating mist effects, and a research drone hovering above the alien canopy under dim red light",Methane-Rich,Crystallis,"Crystallis orbits a triple star system in a state of perpetual atmospheric turbulence, its rocky surface scarred by frequent storms and bathed in extreme radiation that has sculpted an alien microbial ecosystem in subsurface refuges. Despite hostile surface conditions, the planet's rare mineral concentrations and subsurface water reserves make it a compelling target for research outposts and eventual terraforming efforts.",48.58
10,Halcyon Deep,Groombridge 1618,M-type red dwarf,volcanic world,0.1945161463541829,4.332756197799729,64.48784131958327,0.7711281682209526,285.0,95.0,0.49,8.95,2.31,He 55% H2 40% Ne 5%,0.43,0.09,4.49,trace,ice,mineral garden formations,0.68,1.0,constant,high,moderate,moderate,2.0,no,complex,2.0,26.0,high,7.0,20.0,51.0,storms,Partial Terraforming Required,"Touchdown in the equatorial desert region. Sand extends to every horizon, broken only by wind-carved rock formations and occasional impact craters. The star blazes white-hot overhead, driving surface temperatures to fifty-eight Celsius in direct sunlight. Atmosphere is thin, pressure at point-four standard, requiring supplemental oxygen. Water is scarce - subsurface ice detected at depth, but surface conditions are arid. The sand itself is unusual, composed of silicate crystals that refract light in rainbow patterns. Beautiful but harsh. Wind is constant, creating dune systems that shift daily. We've deployed anchored habitats to prevent burial. No biological activity detected in initial surveys, though we're checking subsurface samples for extremophile microbes. Mineral scans indicate significant rare-earth deposits beneath the sand seas. This world's value is extractive rather than habitable. Solar energy potential is extreme - panels here would operate at peak efficiency. Establishing mining assessment outpost. Crew is struggling with the heat and isolation. The emptiness is profound, broken only by the whisper of sand against our equipment. Nights are brutally cold, temperature swings of eighty degrees. This is a world for machines and desperate prospectors, not families. Recommend automated extraction operations with minimal human presence. The desert keeps its secrets well.",,,"Cinematic shot of a tidally locked world's terminator zone with half the sky blazing orange and half in deep purple darkness, showing a rocky transition landscape with a small outpost silhouette and perpetual storm clouds on the horizon",,Halcyon Deep,"A volatile volcanic world orbiting a red dwarf, Halcyon Deep presents a paradox: its thin helium-hydrogen atmosphere and constant storm systems make surface habitation treacherous, yet its abundant rare minerals and extreme solar energy potential offer significant extractive value. Beneath the ice-crusted surface and perpetual tempests lies a world demanding automated operations rather than human settlement.",44.64
